Name,Nationality,Age,↓OVA,POT,Club,Positions,Best Position,Value,Wage,Release Clause,Total Stats,Underpaid_Score
M. Zimmermann,Germany,28,73,73,"



Fortuna Düsseldorf","RB, CDM",RB,€2.8M,21000,€5.4M,1856,0.003476190476190476
L. Ponzio,Argentina,38,73,73,"



River Plate","CDM, CB",CDM,€600K,9000,€1.2M,1939,0.00811111111111111
T. Rogić,Australia,27,73,74,"



Celtic","CAM, CM",CAM,€3.5M,39000,€8.6M,1870,0.0018717948717948717
M. Danielson,Sweden,31,73,73,"



Dalian YiFang FC",CB,CB,€2.1M,13000,€4.7M,1494,0.005615384615384615
Rafa Soares,Portugal,25,73,78,"



SD Eibar",LB,LWB,€4.2M,8000,€0,1967,0.009125
Claudiosa Paes,Brazil,32,73,73,"



São Paulo",RW,CAM,€2.4M,31000,€5.9M,1800,0.0023548387096774194
W. Zimmerman,United States,27,73,75,"



Nashville SC",CB,CB,€3.2M,7000,€6.4M,1695,0.01042857142857143
Lúcio Calegario,Brazil,28,73,73,"



São Paulo","CM, LB",CM,€3M,30000,€7.6M,1953,0.0024333333333333334
Eric Botteghin,Brazil,32,73,73,"



Feyenoord",CB,CB,€2M,11000,€3.6M,1498,0.006636363636363636
R. Strebinger,Austria,27,73,76,"



SK Rapid Wien",GK,GK,€3M,18000,€5.5M,1098,0.004055555555555555
Víctor Vázquez,Spain,33,73,73,"



KAS Eupen","CAM, CM",CAM,€1.9M,11000,€3.6M,1813,0.006636363636363636
Leandro Damião,Brazil,30,73,73,"



Kawasaki Frontale",ST,ST,€3M,12000,€5.1M,1735,0.006083333333333333
A. Wakaso,Ghana,28,73,74,"



Vitória Guimarães",CDM,CB,€2.9M,9000,€8.7M,1838,0.00811111111111111
C. Gytkjær,Denmark,30,73,73,"



AC Monza",ST,ST,€3M,5000,€6.2M,1797,0.0146
O. Akhmedov,Uzbekistan,32,73,73,"



Tianjin TEDA FC","CM, CDM",CM,€2.4M,12000,€0,2014,0.006083333333333333
Castro,Portugal,32,73,73,"



SC Braga","CM, CDM, CAM",CM,€2.4M,12000,€6M,1997,0.006083333333333333
O. Fernández,Colombia,27,73,73,"



Puebla FC","LM, CM, CAM",LM,€3.2M,8000,€7.1M,1776,0.009125
W. Anton,Germany,23,73,79,"



VfB Stuttgart","CB, CDM",CB,€4.4M,16000,€9.8M,1764,0.0045625
J. González,Paraguay,28,73,73,"



Club Necaxa","RB, CB",RB,€2.8M,11000,€5.6M,1762,0.006636363636363636
Róber,Spain,25,73,79,"



Levante UD","CB, CDM",CB,€4.2M,17000,€11.3M,1702,0.004294117647058823
Erik,Brazil,25,73,75,"



Yokohama F. Marinos","CF, LM, RM",CF,€3.9M,12000,€6.9M,1736,0.006083333333333333
Osvaldo Lodeiro,Brazil,20,73,73,"



Coritiba","CB, RB, LB",CB,€3M,12000,€7.4M,1714,0.006083333333333333
L. Carole,France,29,73,73,"



RC Strasbourg Alsace","LB, LWB",LB,€2.7M,22000,€6.6M,1831,0.003318181818181818
C. Corvalán,Argentina,31,73,73,"



Unión de Santa Fe",LB,LB,€2.2M,11000,€4.4M,1852,0.006636363636363636
T. Sippel,Germany,32,73,73,"



Borussia Mönchengladbach",GK,GK,€1.5M,20000,€4.1M,1178,0.00365
Guilherme,Brazil,25,73,76,"



Al Faisaly","LM, RM",RM,€4M,13000,€8.6M,1748,0.005615384615384615
Bojan,Spain,29,73,73,"



Montreal Impact","CAM, ST, LW",CAM,€3M,8000,€5.7M,1758,0.009125
A. Ciciretti,Italy,26,73,74,"



Chievo Verona","RW, CAM",CAM,€3.6M,4000,€7.6M,1771,0.01825
F. Krovinović,Croatia,24,73,78,"



West Bromwich Albion","CAM, CM",CAM,€4.6M,10000,€0,1916,0.0073
M. Nervo,Argentina,29,73,74,"



Club Atlas","CB, RB",CB,€2.8M,20000,€0,1721,0.00365
T. Fosu-Mensah,Netherlands,22,73,81,"



Manchester United","RB, CB",CB,€6.5M,55000,€11.6M,1886,0.0013272727272727273
Marlon Nideiro,Brazil,24,73,73,"



Grêmio",CAM,CAM,€3.5M,20000,€8.4M,1805,0.00365
Pêpê,Portugal,23,73,79,"



Olympiacos CFP","CM, CDM",CM,€4.8M,1000,€12.7M,1904,0.073
D. Saba,Israel,27,73,74,"



Guangzhou R&F FC","CAM, ST, RM",LM,€3.5M,13000,€7.5M,1824,0.005615384615384615
S. Ajayi,Nigeria,26,73,76,"



West Bromwich Albion","CB, CDM",CB,€3.5M,52000,€9.1M,1685,0.0014038461538461537
Hao Junmin,China PR,33,73,73,"



Shandong Luneng TaiShan FC","CM, CDM",CM,€1.9M,16000,€3.7M,1989,0.0045625
Edgar Méndez,Spain,30,73,73,"



Deportivo Alavés","RM, RW, LM",RM,€2.9M,19000,€8M,1890,0.0038421052631578945
W. Janssen,Netherlands,33,73,73,"



FC Utrecht",CB,CB,€1.5M,13000,€2.9M,1908,0.005615384615384615
K. Mavropanos,Greece,22,73,84,"



VfB Stuttgart",CB,CB,€6.5M,42000,€0,1574,0.001738095238095238
Toni Lato,Spain,22,73,81,"



Valencia CF","LB, LWB",LWB,€6.5M,20000,€12.7M,1892,0.00365
Míchel,Spain,31,73,73,"



Real Valladolid CF","CM, CDM",CM,€2.5M,16000,€7.1M,1826,0.0045625
E. Muñoz,Argentina,29,73,73,"



Independiente",CB,CB,€2.5M,15000,€5.1M,1539,0.004866666666666667
J. Damm,Mexico,27,73,73,"



Atlanta United",RM,RM,€3.2M,8000,€6.3M,1875,0.009125
Marafona,Portugal,33,73,73,"



Alanyaspor",GK,GK,€1M,9000,€4.4M,1189,0.00811111111111111
M. Bruno,Belgium,26,73,74,"



Sporting de Charleroi","CAM, LM, RM",CAM,€3.6M,13000,€7.4M,1894,0.005615384615384615
S. Clucas,England,29,73,73,"



Stoke City","CM, CDM",CM,€3M,24000,€7.2M,1982,0.0030416666666666665
Yan Junling,China PR,29,73,75,"



Shanghai SIPG FC",GK,GK,€2.5M,9000,€5.7M,1240,0.00811111111111111
Leo Caldeirinha,Brazil,24,73,73,"



Goiás","CAM, LM",CAM,€3.5M,10000,€8.4M,1890,0.0073
Leonardo,Brazil,33,73,73,"



Shandong Luneng TaiShan FC","LM, LW",LW,€1.9M,16000,€3.8M,1860,0.0045625
B. Zuculini,Argentina,27,73,76,"



River Plate","CDM, CB",CDM,€3.5M,13000,€6.5M,1953,0.005615384615384615
Alvildo Sousa,Brazil,24,73,73,"



Atlético Clube Goianiense","CAM, CM",CAM,€3.5M,10000,€8.4M,1835,0.0073
M. Henriksen,Norway,27,73,74,"



Rosenborg BK","CDM, CM",CDM,€3.1M,7000,€5.6M,1963,0.01042857142857143
Henrique Dourado,Brazil,30,73,73,"



Henan Jianye FC",ST,ST,€3M,14000,€6M,1815,0.005214285714285715
V. Kovalenko,Ukraine,24,73,80,"



Shakhtar Donetsk","CAM, CM",CAM,€6M,750,€12.7M,2001,0.09733333333333333
L. Cigarini,Italy,34,73,73,"



Crotone","CM, CDM",CM,€1.4M,11000,€3.4M,1927,0.006636363636363636
F. Quignon,Argentina,27,73,74,"



Club Atlético Lanús","CDM, CM",CDM,€3.1M,14000,€6.5M,1969,0.005214285714285715
B. Butko,Ukraine,29,73,73,"



Lech Poznań",RB,RB,€2.7M,9000,€4.6M,1831,0.00811111111111111
Welinton,Brazil,31,73,73,"



Beşiktaş JK",CB,CB,€2.1M,41000,€5.7M,1757,0.0017804878048780488
Burgui,Spain,26,73,74,"



Deportivo Alavés",LM,LM,€3.6M,19000,€10.2M,1778,0.0038421052631578945
A. Musa,Nigeria,27,73,73,"



Al Nassr","LM, ST",LM,€3.2M,30000,€7.1M,1796,0.0024333333333333334
Diego Lopes,Brazil,26,73,75,"



Rio Ave FC","CAM, LW",CAM,€3.8M,10000,€10.4M,1903,0.0073
J. Toljan,Germany,25,73,76,"



Sassuolo","RB, LB",RWB,€3.7M,33000,€0,1769,0.002212121212121212
Fabri Arnoia,Brazil,28,73,73,"



Flamengo","RW, CF",RW,€3.1M,32000,€7.2M,1718,0.00228125
S. M'Bia,Cameroon,34,73,73,"



Shanghai Greenland Shenhua FC","CB, CDM",CB,€1M,13000,€2.3M,1949,0.005615384615384615
J. Mišić,Croatia,26,73,75,"



PAOK","CM, CDM, CAM",CAM,€3.7M,1000,€10.9M,1959,0.073
O. Kamara,Norway,30,73,73,"



DC United","ST, LW",ST,€3M,8000,€5.9M,1825,0.009125
Raúl Carnero,Spain,31,73,73,"



Real Valladolid CF","LB, LM",LB,€2.2M,15000,€6.1M,1981,0.004866666666666667
S. Sosa,Uruguay,33,73,73,"



Independiente",GK,GK,€1M,9000,€0,1169,0.00811111111111111
J. Stacey,England,24,73,78,"



Bournemouth","RWB, RB",RWB,€4.3M,10000,€9.3M,1864,0.0073
J. Lucumi,Colombia,22,73,81,"



KRC Genk","CB, LB",CB,€6.5M,11000,€9.4M,1629,0.006636363636363636
Renatinho,Brazil,31,73,73,"



Guangzhou R&F FC","RW, RM",RW,€2.5M,15000,€5.4M,1814,0.004866666666666667
D. Zabala,Uruguay,28,73,73,"



Rosario Central","RM, LM",RM,€3.1M,15000,€6M,1844,0.004866666666666667
M. Aebischer,Switzerland,23,73,82,"



BSC Young Boys","CM, CDM",CM,€6.5M,16000,€10.2M,1943,0.0045625
Juan Carlos,Spain,29,73,73,"



SD Huesca","CM, CAM, ST",CAM,€3M,20000,€8.4M,1860,0.00365
R. Kristensen,Denmark,22,73,79,"



FC Red Bull Salzburg","RB, RWB, RM",RB,€4.6M,17000,€8.3M,1883,0.004294117647058823
N. López,Uruguay,26,73,74,"



Tigres U.A.N.L.","CAM, RM",ST,€3.6M,34000,€7.9M,1773,0.0021470588235294116
D. Chygrynskyi,Ukraine,33,73,73,"



AEK Athens",CB,CB,€1.5M,1000,€4.2M,1580,0.073
A. Ibargüen,Colombia,28,73,73,"



Club América","LM, LW",RW,€3.1M,31000,€6.8M,1763,0.0023548387096774194
A. Ioniță,Moldova,29,73,73,"



Benevento","CM, CAM",CB,€3M,16000,€6.8M,2028,0.0045625
W. Gargano,Uruguay,35,73,73,"



Peñarol","CDM, CM, RM",CDM,€850K,700,€2.9M,1872,0.10428571428571429
S. Torrico,Argentina,40,73,73,"



San Lorenzo de Almagro",GK,GK,€350K,8000,€600K,1151,0.009125
G. Rossi,Italy,33,73,73,"



Real Salt Lake","ST, CAM",CF,€1.9M,8000,€3.6M,1766,0.009125
S. Longstaff,England,22,73,83,"



Newcastle United","CM, CAM",CM,€7M,26000,€13.7M,1872,0.0028076923076923075
D. Akpeyi,Nigeria,34,73,73,"



Kaizer Chiefs",GK,GK,€525K,650,€4M,975,0.1123076923076923
I. Nestorovski,North Macedonia,30,73,73,"



Udinese",ST,ST,€3M,16000,€7M,1800,0.0045625
L. Zuffi,Switzerland,30,73,73,"



FC Basel 1893","CAM, CDM, CM",CM,€2.9M,14000,€5.7M,2059,0.005214285714285715
Bruno Varela,Portugal,25,73,75,"



Vitória Guimarães",GK,GK,€2.9M,7000,€7.6M,1214,0.01042857142857143
Rúben Ribeiro,Portugal,32,73,73,"



Hatayspor","LW, CAM",LW,€2.4M,14000,€6M,1975,0.005214285714285715
M. Caraglio,Argentina,31,73,73,"



Cruz Azul",ST,ST,€2.6M,48000,€6.1M,1710,0.0015208333333333332
I. Khune,South Africa,33,73,73,"



Kaizer Chiefs",GK,GK,€1M,650,€4.8M,1385,0.1123076923076923
Lee Yong,Korea Republic,33,73,73,"



Jeonbuk Hyundai Motors",RB,RB,€1.6M,9000,€2.3M,1910,0.00811111111111111
E. Gnahoré,France,26,73,75,"



Wuhan Zall","CM, CDM",CM,€3.7M,6000,€0,1939,0.012166666666666666
João Paulo,Brazil,29,73,73,"



Seattle Sounders FC","CAM, CM",CAM,€3M,8000,€5.9M,1789,0.009125
Paulo Otávio,Brazil,25,73,76,"



VfL Wolfsburg","LB, LM",LWB,€3.7M,28000,€7.8M,1854,0.0026071428571428574
H. Nordtveit,Norway,30,73,73,"



TSG 1899 Hoffenheim","CB, CDM",CB,€2.5M,24000,€5.4M,1870,0.0030416666666666665
L. Cavallini,Canada,27,73,73,"



Vancouver Whitecaps FC",ST,ST,€3.3M,8000,€6.2M,1731,0.009125
A. Zivkovic,Serbia,23,73,77,"



PAOK","RM, RW, LW",CAM,€4.4M,1000,€11.4M,1896,0.073
A. Abedzadeh,Iran,27,73,75,"



Clube Sport Marítimo",GK,GK,€2.8M,7000,€7.4M,1068,0.01042857142857143
P. Arriola,United States,25,73,76,"



DC United","RM, RW, CAM",RM,€4M,7000,€7.9M,1951,0.01042857142857143
P. Aguilar,Mexico,34,73,73,"



Club América",RB,RB,€1.1M,27000,€2.4M,1968,0.002703703703703704
Juliano Mascarinhas,Brazil,24,73,73,"



Grêmio",CDM,CDM,€3.1M,18000,€7.4M,1839,0.004055555555555555
S. Schrijvers,Belgium,23,73,78,"



Club Brugge KV","ST, CAM",CAM,€4.7M,19000,€8.1M,1996,0.0038421052631578945
F. Mora,Chile,26,73,74,"



Portland Timbers",ST,ST,€3.6M,13000,€0,1732,0.005615384615384615
J. Castelletto,Cameroon,25,73,77,"



FC Nantes",CB,CB,€3.8M,18000,€9.5M,1702,0.004055555555555555
S. Larsson,Sweden,35,73,73,"



AIK","CM, CDM",CM,€1.2M,6000,€2.1M,2045,0.012166666666666666
J. Geis,Germany,26,73,75,"



1. FC Nürnberg","CDM, CM, CB",CDM,€3.4M,11000,€7.2M,2034,0.006636363636363636
D. Man,Romania,21,73,82,"



FCSB (Steaua)",RW,LM,€7M,12000,€9.6M,1900,0.006083333333333333
R. Métanire,Madagascar,30,73,73,"



Minnesota United FC",RB,RB,€2.6M,7000,€4.8M,1780,0.01042857142857143
M. Pereira Lage,Portugal,23,73,80,"



Angers SCO","LM, CM",RM,€6M,17000,€12.1M,1889,0.004294117647058823
Mauro Júnior,Brazil,21,73,80,"



PSV","CAM, LM, LB",CAM,€6M,11000,€8.8M,1885,0.006636363636363636
Caio Chissano,Brazil,32,73,73,"



Palmeiras","LB, LM",LB,€2.1M,26000,€4.5M,1748,0.0028076923076923075
G. Bong,Cameroon,32,73,73,"



Nottingham Forest","LB, LWB",LB,€2.1M,35000,€4.8M,1796,0.002085714285714286
C. Ninga,Chad,27,73,73,"



Sivasspor","LM, ST",LM,€3.2M,19000,€0,1839,0.0038421052631578945
M. Suttner,Austria,33,73,73,"



FK Austria Wien","LB, LM, LWB",LB,€1.6M,15000,€2.6M,1946,0.004866666666666667
G. dos Santos,Mexico,31,73,73,"



Club América","CAM, ST, CF",CAM,€2.5M,30000,€6M,1797,0.0024333333333333334
R. Krunić,Bosnia Herzegovina,26,73,74,"



Milan",CM,CAM,€3.6M,28000,€8.2M,2025,0.0026071428571428574
M. Tanković,Sweden,25,73,76,"



AEK Athens","LW, LM, CAM",CAM,€4M,1000,€11.4M,1861,0.073
O. Ntcham,France,24,73,80,"



Celtic","CM, CAM, CDM",CAM,€6M,34000,€11M,2016,0.0021470588235294116
T. Almada,Argentina,19,73,89,"



Vélez Sarsfield","CAM, CM, LW",CAM,€8M,8000,€18.1M,1915,0.009125
V. Le Goff,France,30,73,73,"



FC Lorient",LB,LB,€2.6M,22000,€6.4M,1886,0.003318181818181818
V. Vasin,Russia,31,73,73,"



PFC CSKA Moscow",CB,CB,€2.1M,30000,€4.8M,1712,0.0024333333333333334
J. Velázquez,Argentina,29,73,74,"



Querétaro",CB,CB,€2.8M,10000,€6.6M,1673,0.0073
A. Beiranvand,Iran,27,73,75,"



Royal Antwerp FC",GK,GK,€2.8M,13000,€5.4M,1088,0.005615384615384615
J. Murillo,Venezuela,24,73,79,"



CD Tondela","RM, LM",RM,€4.8M,6000,€12.4M,1769,0.012166666666666666
Y. Fofana,France,21,73,79,"



AS Monaco","CM, CDM",CM,€4.9M,26000,€11.6M,1930,0.0028076923076923075
Evanilson,Brazil,20,73,87,"



FC Porto",ST,ST,€7.5M,9000,€23.6M,1647,0.00811111111111111
S. Larsson,Sweden,27,73,73,"



Dalian YiFang FC",LW,CAM,€3.2M,16000,€6.5M,1860,0.0045625
C. de Pena,Uruguay,28,73,73,"



Dynamo Kyiv",LM,LM,€3.1M,900,€8.8M,1666,0.0811111111111111
Jorge Praceira,Brazil,28,73,75,"



Palmeiras",CB,CB,€3.1M,27000,€7.5M,1910,0.002703703703703704
A. Büyük,Turkey,32,73,73,"



Yeni Malatyaspor","LM, ST",LM,€2.4M,13000,€6.2M,1850,0.005615384615384615
K. Müller,Germany,29,73,73,"



1. FC Heidenheim 1846",GK,GK,€2.1M,16000,€4.5M,1137,0.0045625
J. Hauge,Norway,20,73,82,"



Milan",LW,RM,€6.5M,24000,€11.4M,1842,0.0030416666666666665
F. Angileri,Argentina,26,73,76,"



River Plate","LB, LWB",LB,€3.7M,13000,€6.3M,1996,0.005615384615384615
Z. Bergdich,Morocco,31,73,73,"



Denizlispor",LB,LB,€2.2M,19000,€5.8M,1901,0.0038421052631578945
S. Dewaest,Belgium,29,73,73,"



KRC Genk",CB,CB,€2.5M,13000,€5.1M,1546,0.005615384615384615
A. Boruc,Poland,40,73,73,"



Legia Warszawa",GK,GK,€350K,5000,€560K,1160,0.0146
A. Parot,Chile,30,73,73,"



Universidad Católica","LB, CB",LB,€2.6M,10000,€4.5M,1929,0.0073
J. Dátolo,Argentina,36,73,73,"



Club Atlético Banfield","CAM, CM",CAM,€1M,10000,€2M,1842,0.0073
S. Viera,Uruguay,37,73,73,"



Junior FC",GK,GK,€350K,2000,€560K,1266,0.0365
Varela,Portugal,35,73,73,"



Os Belenenses","LW, RW",LW,€1.2M,6000,€3.7M,1892,0.012166666666666666
J. Bela,France,27,73,73,"



Birmingham City","LM, RM, ST",LM,€3.2M,15000,€8M,1910,0.004866666666666667
K. Grant,England,22,73,81,"



Huddersfield Town","LM, ST",ST,€7M,20000,€12.6M,1834,0.00365
N. Gavory,France,25,73,77,"



Standard de Liège",LB,LWB,€3.9M,12000,€7.1M,1983,0.006083333333333333
D. Kourmpelis,Greece,26,73,77,"



Panathinaikos FC","CDM, CB, CM",CDM,€3.8M,700,€10.5M,1847,0.10428571428571429
L. Deaux,France,31,73,73,"



Nîmes Olympique","CDM, CM",CDM,€2.1M,17000,€6M,1783,0.004294117647058823
Sandro,Spain,24,73,77,"



SD Huesca","ST, LW",ST,€4.4M,18000,€12.5M,1840,0.004055555555555555
J. Justin,England,22,73,80,"



Leicester City","RB, LB",RB,€6M,42000,€10.5M,1813,0.001738095238095238
P. Pérez,Argentina,34,73,73,"



Newell's Old Boys","CM, CDM",CDM,€1.4M,13000,€2.9M,2035,0.005615384615384615
Rolando,Portugal,34,73,73,"



SC Braga",CB,CB,€1M,11000,€3M,1584,0.006636363636363636
Jamiro Monteiro,Cape Verde,26,73,76,"



Philadelphia Union","CM, CAM, LM",CM,€4M,8000,€7.7M,1937,0.009125
H. Magnússon,Iceland,27,73,76,"



PFC CSKA Moscow","CB, LB",CB,€3.5M,30000,€7.2M,1794,0.0024333333333333334
P. Nardi,France,26,73,78,"



FC Lorient",GK,GK,€3.5M,18000,€8.1M,1138,0.004055555555555555
R. van Wolfswinkel,Netherlands,31,73,73,"



FC Basel 1893","ST, RM",ST,€2.6M,16000,€5.4M,1842,0.0045625
R. Vlaar,Netherlands,35,73,73,"



AZ Alkmaar",CB,CB,€800K,6000,€1.8M,1666,0.012166666666666666
I. Lichnovsky,Chile,26,73,78,"



Cruz Azul","CB, CDM",CB,€4M,40000,€8.3M,1678,0.001825
G. Charbonnier,France,31,73,73,"



Stade Brestois 29","ST, CAM",ST,€2.6M,17000,€7.2M,1747,0.004294117647058823
P. Mainka,Germany,25,73,75,"



1. FC Heidenheim 1846",CB,CB,€3.4M,17000,€7.2M,1575,0.004294117647058823
A. Bayındır,Turkey,22,73,80,"



Fenerbahçe SK",GK,GK,€5.5M,28000,€9M,976,0.0026071428571428574
T. Didillon,France,24,73,77,"



KSV Cercle Brugge",GK,GK,€3.5M,7000,€5.9M,1187,0.01042857142857143
A. Armstrong,England,23,73,81,"



Blackburn Rovers","ST, LW, RW",ST,€7M,33000,€12.6M,1933,0.002212121212121212
D. Selke,Germany,25,73,77,"



SV Werder Bremen",ST,ST,€4.3M,34000,€0,1785,0.0021470588235294116
S. Amallah,Morocco,23,73,79,"



Standard de Liège","CAM, RW, LW",CAM,€4.8M,12000,€9.4M,1947,0.006083333333333333
M. Yoshida,Japan,31,73,73,"



Sampdoria",CB,CB,€2.1M,15000,€5.4M,1685,0.004866666666666667
L. Grabban,England,32,73,73,"



Nottingham Forest",ST,ST,€2.5M,42000,€6.1M,1759,0.001738095238095238
J. Pinos,Ecuador,30,73,73,"



Independiente del Valle",GK,GK,€2M,600,€5.9M,978,0.12166666666666667
Guto Costinho,Brazil,32,73,73,"



Palmeiras",CB,CB,€2M,26000,€4.7M,1679,0.0028076923076923075
A. Jahović,North Macedonia,33,73,73,"



Antalyaspor",ST,ST,€1.9M,17000,€5M,1650,0.004294117647058823
S. Lobjanidze,Georgia,25,73,76,"



MKE Ankaragücü","LM, RM",RM,€4M,20000,€10.4M,1774,0.00365
Michel Cruceiro,Brazil,28,73,73,"



Flamengo","CDM, CM",CDM,€2.7M,27000,€6.5M,1908,0.002703703703703704
A. Browne,Republic of Ireland,25,73,78,"



Preston North End","CDM, CAM",ST,€4.1M,20000,€9.5M,2061,0.00365
K. Akpoguma,Nigeria,25,73,77,"



TSG 1899 Hoffenheim",CB,CB,€3.8M,23000,€8.2M,1706,0.003173913043478261
I. Mbaye,Senegal,25,73,76,"



Bologna","RB, LB",RB,€3.7M,22000,€8.3M,1834,0.003318181818181818
D. Limnios,Greece,22,73,80,"



1. FC Köln","RM, LM",RM,€6M,19000,€11M,1808,0.0038421052631578945
Júnior Morais,Brazil,33,73,73,"



Gazişehir Gaziantep F.K.","LWB, LB",LWB,€1.6M,12000,€3.6M,1975,0.006083333333333333
D. Moberg Karlsson,Sweden,26,73,74,"



Sparta Praha","RM, LM",RM,€3.6M,850,€10.7M,1780,0.08588235294117647
L. Öztunalı,Germany,24,73,76,"



1. FSV Mainz 05","RM, RW, CM",RM,€4.2M,19000,€9.4M,1900,0.0038421052631578945
M. Ullmann,Austria,24,73,77,"



SK Rapid Wien","LWB, LM, LB",LWB,€4.1M,19000,€7.2M,1891,0.0038421052631578945
José Crespo,Spain,33,73,73,"



PAOK","CB, RB, LB",CB,€1.5M,1000,€4.2M,1770,0.073
F. Gago,Argentina,34,73,73,"



Vélez Sarsfield","CDM, CM",CDM,€1M,13000,€2.3M,1892,0.005615384615384615
D. Cataldi,Italy,25,73,76,"



Lazio","CM, CDM",CAM,€4M,38000,€8.7M,2001,0.0019210526315789473
G. Peruzzi,Argentina,28,73,73,"



San Lorenzo de Almagro",RB,RB,€2.8M,16000,€5.1M,1858,0.0045625
D. Popov,Ukraine,21,73,84,"



Dynamo Kyiv",CB,CB,€6.5M,550,€15.6M,1560,0.13272727272727272
C. Schindler,Germany,30,73,73,"



Huddersfield Town",CB,CB,€2.5M,21000,€6.1M,1652,0.003476190476190476
F. Roncaglia,Argentina,33,73,73,"



CA Osasuna","CB, RB",CB,€1.5M,22000,€4M,1850,0.003318181818181818
Roberto Soira,Brazil,24,73,73,"



Coritiba",CB,CB,€3.1M,15000,€7.4M,1677,0.004866666666666667
M. Valjent,Slovakia,24,73,80,"



RCD Mallorca",CB,CB,€5.5M,7000,€9M,1744,0.01042857142857143
A. Traoré,Burkina Faso,31,73,73,"



Sivasspor","CAM, RM",CAM,€2.5M,15000,€7M,1957,0.004866666666666667
A. Gabbarini,Argentina,34,73,73,"



LDU Quito",GK,GK,€525K,600,€4M,1139,0.12166666666666667
J. Lucumí,Colombia,25,73,76,"



Elche CF","RM, LM, CM",RM,€4M,16000,€11.4M,1703,0.0045625
D. Amartey,Ghana,25,73,76,"



Leicester City","RB, CDM",CB,€3.7M,47000,€8.7M,1879,0.0015531914893617022
R. Doan,Japan,22,73,81,"



DSC Arminia Bielefeld","RM, CAM",CAM,€7M,13000,€0,1828,0.005615384615384615
M. Vojvoda,Kosovo,25,73,77,"



Torino","RB, CB",RB,€3.9M,28000,€8M,1859,0.0026071428571428574
P. Goltz,Argentina,35,73,73,"



Gimnasia y Esgrima La Plata",CB,CB,€800K,9000,€1.7M,1841,0.00811111111111111
A. Donnarumma,Italy,29,73,73,"



Brescia",ST,ST,€3M,32000,€7.2M,1805,0.00228125
Fábio,Brazil,29,73,73,"



FC Nantes","RB, LB",RB,€2.7M,20000,€6.6M,1963,0.00365
Jemerson,Brazil,27,73,74,"



AS Monaco","CB, CDM",CB,€3.1M,32000,€7.9M,1634,0.00228125
Caio,United Arab Emirates,29,73,73,"



Al Ain FC","ST, LM",ST,€3M,1000,€8.6M,1873,0.073
R. Sawyers,Saint Kitts and Nevis,28,73,73,"



West Bromwich Albion","CM, CDM",CM,€3M,60000,€8M,1884,0.0012166666666666667
S. Cáseres,Argentina,23,73,81,"



Club América","CDM, CM",CDM,€6.5M,19000,€0,1869,0.0038421052631578945
V. Stocker,Switzerland,31,73,73,"



FC Basel 1893","RM, LM, CAM",RM,€2.5M,14000,€5.3M,1909,0.005214285714285715
A. Musrati,Libya,24,73,78,"



SC Braga","CDM, CM",CDM,€4.2M,10000,€10.2M,1731,0.0073
Emu Teixeira,Brazil,36,73,73,"



Vasco da Gama",CB,CB,€550K,9000,€1.5M,1686,0.00811111111111111
G. Donati,Italy,30,73,73,"



AC Monza","RB, RWB",CB,€2.6M,5000,€5.1M,1833,0.0146
L. Valencia,Chile,29,73,73,"



Colo-Colo","CAM, ST, LW",CAM,€3M,8000,€5.5M,1756,0.009125
T. Usami,Japan,28,73,73,"



Gamba Osaka","CF, ST",CAM,€3.1M,13000,€5.1M,1859,0.005615384615384615
Yuri Ribeiro,Portugal,23,73,79,"



Nottingham Forest",LB,LWB,€4.5M,30000,€10.3M,1916,0.0024333333333333334
D. Álvarez,Mexico,25,73,74,"



Puebla FC","LM, RM, RW",LM,€3.6M,8000,€8.5M,1776,0.009125
L. Melgarejo,Paraguay,29,73,73,"



Racing Club","RW, LB",RW,€3M,17000,€5.5M,1972,0.004294117647058823
Y. Aït Bennasser,Morocco,23,73,77,"



AS Monaco","CM, CDM",CAM,€4.3M,31000,€9.9M,1931,0.0023548387096774194
S. Morrison,England,29,73,73,"



Cardiff City",CB,CB,€2.5M,22000,€6.5M,1476,0.003318181818181818
V. Eysseric,France,28,73,73,"



Fiorentina","LW, CAM, CF",CAM,€3.1M,42000,€6.8M,1864,0.001738095238095238
B. Espinosa,Colombia,30,73,73,"



Girona FC",CB,CB,€2.5M,8000,€5.1M,1656,0.009125
Adrián Marín,Spain,23,73,82,"



Deportivo Alavés",LB,LB,€6.5M,15000,€12.7M,1791,0.004866666666666667
W. Tesillo,Colombia,30,73,73,"



Club León","CB, LB",CB,€2.5M,18000,€5.4M,1633,0.004055555555555555
M. Matvienko,Ukraine,24,73,80,"



Shakhtar Donetsk","CB, RB, LB",CB,€5.5M,650,€11.5M,1745,0.1123076923076923
R. Perraud,France,22,73,79,"



Stade Brestois 29",LB,LWB,€4.6M,12000,€10.8M,1982,0.006083333333333333
J. Rinne,Sweden,27,73,76,"



Aalborg BK",GK,GK,€3M,10000,€4.6M,1198,0.0073
O. Aina,Nigeria,23,73,79,"



Fulham","LM, RM, RB",LM,€4.8M,28000,€0,1979,0.0026071428571428574
Barrenetxea,Spain,18,73,82,"



Real Sociedad","LW, ST, RW",LW,€6.5M,9000,€12.7M,1685,0.00811111111111111
M. Bülter,Germany,27,73,73,"



1. FC Union Berlin","LW, CF",LW,€3.2M,26000,€7.6M,1865,0.0028076923076923075
